Date,Symbol,Open,High,Low,Close,Volume,Turnover
2024-09-24 00:58:34.826294,RELIANCE,1244.907746306878,1271.1122083741798,1238.4008592747264,1249.080237694725,2070006,2585603586.5095067
2024-09-25 00:58:34.826294,RELIANCE,1205.5802083451615,1209.9710739638883,1196.1237071794671,1209.6660561845415,1739911,2104711277.4821017
2024-09-26 00:58:34.826294,RELIANCE,1222.0057685552044,1239.2473049997927,1199.918985761518,1221.6710353079477,1762752,2153503060.8311553
2024-09-27 00:58:34.826294,RELIANCE,1206.7565050626042,1229.5828123707706,1207.3111646707553,1211.853481007496,1807371,2190268837.821999
2024-09-30 00:58:34.826294,RELIANCE,1200.0420474376367,1215.3471658963201,1182.8259314728216,1195.7591126849634,2000942,2392644630.454076
2024-10-01 00:58:34.826294,RELIANCE,1181.481921927251,1186.4155481930754,1167.8929839372645,1179.0031527031508,2454354,2893691103.849589
2024-10-02 00:58:34.826294,RELIANCE,1179.016501441233,1186.0314117227936,1166.8265555262615,1175.236507198718,3163046,3717327133.148876
2024-10-03 00:58:34.826294,RELIANCE,1221.6891338159853,1241.9982773573129,1213.568969179417,1221.7598438114205,3916664,4785222796.9018135
2024-10-04 00:58:34.826294,RELIANCE,1215.5011256335608,1236.8452667908941,1199.3342656890122,1219.479536244641,3245683,3958043999.637115
2024-10-07 00:58:34.826294,RELIANCE,1193.6095113224353,1204.1447345466574,1194.992681881856,1198.3954536232845,3169995,3798907596.008544
2024-10-08 00:58:34.826294,RELIANCE,1186.5465899939168,1199.0571076725803,1170.556174457005,1188.3535836786714,2273415,2701620862.4388466
2024-10-09 00:58:34.826294,RELIANCE,1186.4493232661941,1199.370509281261,1176.3098589847937,1184.6587401913052,4410197,5224578422.015473
2024-10-10 00:58:34.826294,RELIANCE,1200.7829031599556,1207.9765681878487,1173.2629760376637,1196.696811180337,3085031,3691846760.092486
2024-10-11 00:58:34.826294,RELIANCE,1215.5583501083445,1216.9954895543538,1197.5133145071543,1213.9299585045937,1507293,1829748128.9442647
2024-10-14 00:58:34.826294,RELIANCE,1217.8616385916587,1236.7416814192666,1218.296123936285,1219.9953614908256,2267640,2766510281.531056
2024-10-15 00:58:34.826294,RELIANCE,1237.6384482517815,1262.9263228265495,1236.0337001651972,1241.6753653545625,1785160,2216589195.2163506
2024-10-16 00:58:34.826294,RELIANCE,1228.6036573187046,1231.3160084620226,1208.7327894056682,1224.4766673806278,2004384,2454321440.471052
2024-10-17 00:58:34.826294,RELIANCE,1225.9897889701788,1236.159967156902,1216.1424859171987,1223.6141351093167,4830634,5910832043.939659
2024-10-18 00:58:34.826294,RELIANCE,1214.89735896458,1219.20725275313,1210.9919387997309,1218.398495559781,2731785,3328402734.192776
2024-10-21 00:58:34.826294,RELIANCE,1237.1175874280623,1258.406045478016,1213.7029983020254,1235.225681305216,2343400,2894627861.5706434
2024-10-22 00:58:34.826294,RELIANCE,1266.7415039415794,1283.3022680971226,1246.5775207122044,1263.380094516313,4642807,5865629946.480999
2024-10-23 00:58:34.826294,RELIANCE,1256.4500497036806,1282.3208461284466,1242.573829544906,1259.469162811844,2621690,3301937709.4521832
2024-10-24 00:58:34.826294,RELIANCE,1247.4049286760785,1249.4187483195672,1235.5049958860484,1246.6514446767892,1397421,1742096908.4716835
2024-10-25 00:58:34.826294,RELIANCE,1220.5671453102966,1242.1647196159572,1207.7014819043723,1221.051191111963,622409,759993250.8088057
2024-10-28 00:58:34.826294,RELIANCE,1244.5306495304696,1270.3631558369918,1243.2616802363177,1246.0208836670495,3831068,4773590734.748556
2024-10-29 00:58:34.826294,RELIANCE,1244.1096883421644,1246.1204943607775,1226.6493098099045,1245.074017737582,4372998,5444706189.41841
2024-10-30 00:58:34.826294,RELIANCE,1290.7650889663748,1292.5903200938892,1263.325073639094,1285.391169881064,543585,698719359.0797981
2024-10-31 00:58:34.826294,RELIANCE,1251.9045395319824,1277.3626121676084,1235.5941122477798,1254.5111850713772,609556,764694819.9273684
2024-11-01 00:58:34.826294,RELIANCE,1246.0745763672396,1242.7341459609158,1218.3650286718928,1242.2867598486573,4060920,5044827148.804609
2024-11-04 00:58:34.826294,RELIANCE,1299.7270593029045,1304.691566885299,1275.2766433087054,1296.787617944265,2735000,3546714135.077565
2024-11-05 00:58:34.826294,RELIANCE,1298.037751490659,1323.5868568236901,1297.9508269659327,1300.8798983025315,2454109,3192501066.343327
2024-11-06 00:58:34.826294,RELIANCE,1305.2251842209546,1316.658001875755,1300.057165642676,1302.572027654296,1884250,2454371343.1076074
2024-11-07 00:58:34.826294,RELIANCE,1293.8352175389275,1297.5051339478096,1285.0217679788573,1297.1833277666906,539353,699639719.3809478
2024-11-08 00:58:34.826294,RELIANCE,1263.813927083424,1281.4849332645495,1258.802539406903,1266.3305658313454,916880,1161073169.199444
2024-11-11 00:58:34.826294,RELIANCE,1301.1472784189664,1323.1346942285204,1302.5005146210742,1303.7558446968153,769536,1003287057.7046084
2024-11-12 00:58:34.826294,RELIANCE,1288.5282905087374,1305.2328947627711,1266.2170608050576,1283.3577065386824,2722809,3494337913.5828834
2024-11-13 00:58:34.826294,RELIANCE,1282.447909876484,1304.1188193113912,1276.5044063988762,1281.2535052418416,2241093,2871408261.8229547
2024-11-14 00:58:34.826294,RELIANCE,1306.6661405224343,1318.4765298891755,1291.3381014946635,1312.1908687307066,3580389,4698153752.303865
2024-11-15 00:58:34.826294,RELIANCE,1333.5434529172608,1355.3944711796253,1313.1045350979316,1339.777837555214,2159066,2892668776.6189857
2024-11-18 00:58:34.826294,RELIANCE,1326.2915412004206,1335.3734501316376,1319.908550052433,1321.5906947227713,4635314,6125987849.518188
2024-11-19 00:58:34.826294,RELIANCE,1333.7334935319693,1345.2532345764014,1326.2727770664562,1329.328451125745,571295,759438697.4858825
2024-11-20 00:58:34.826294,RELIANCE,1295.40699474669,1324.3524948177997,1283.2812138821766,1300.689651011329,4112600,5349216258.749192
2024-11-21 00:58:34.826294,RELIANCE,1294.4858525822085,1312.9190983283777,1275.482831577787,1290.2372715670733,4004473,5166720317.584013
2024-11-22 00:58:34.826294,RELIANCE,1274.6905652238045,1285.439538099387,1266.389449963031,1274.4682170156577,1186976,1512763186.3603773
2024-11-25 00:58:34.826294,RELIANCE,1293.4427559828941,1314.3217561928914,1278.7080126419276,1294.2892734459003,4614639,5972677758.525116
